"scraped_at","cluster_code","clean_list_name","work_order_number","route","scope","phase","route_summary_status","astri_type","astri_label","derived_status","file_count","upload_date","verified_by","verified_at","revision_by","revision_at","revision_remark","filename","detail_url"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","build_of_quantity_as_built_drawing","ABD BoQ Cluster","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","as_built_drawing_dwg","ABD Cluster DWG","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","as_built_drawing_kmz","ABD Cluster KMZ","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","build_of_quantity_as_plan_drawing","BoQ APD","APPROVED","1","2026-08-06 12:35:13","moch.putro",,,,,"build_of_quantity_as_plan_drawing_TRG000038_20260806123513_TRG000035  APD BOQ LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","core_management","Core Management","ON REVIEW","1","2026-08-19 17:14:23",,,,,,"core_management_TRG000038_20260819171423_TRG000038  PRE ABD HPDB LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","justifikasi_berita_acara_opname","Justifikasi Berita Acara Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","project_opname","Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:53 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","subfeeder_project_opname","Project Opname Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:41:05 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","build_of_quantity_as_built_drawing","ABD BoQ Cluster","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:41:05 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","as_built_drawing_dwg","ABD Cluster DWG","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
