primary_access_id_project;access_id_project;access_name_project;regional_project;provinsi_project;area_project;pic_project;hpplan_project;status_po;number_po;tanggal_po;tahun_po;nilai_awal_po;hp_po;po_estimasi;eks_kompetitor;tgl_canvasing;surat_ijin_bak;bak_bak;status_bak;tanggal_bak;hp_bak;report_cbn;kmz_cbn;status_cbn;tgl_submite_cbn;tgl_approve_cbn;spk_nomor;spk_tanggal;spk_target_rfs;spk_hp;report_hld;apd_hld;boq_hld;status_hld;tgl_submit_hld;tgl_approve_hld;hp_hld;apd_lld;boq_lld;report_lld;autocad_lld;schematic_lld;maincore_lld;penambang_jalan_lld;bid_lld;status_lld;tgl_submite_lld;tgl_approve_lld;hp_lld;tgl_kom;tgl_pks;tiang_implementasi;kabel_implementasi;dpfo_implementasi;cortiang_implementasi;atp_implementasi;status_implementasi;tanggal_rfs;hp_rfs;tanggal_atp;hp_atp;tanggal_bast;main_status;remarks_status;submit_invoice_bast;nilai_invoice_bast;plan_invoice_bast;keterangan_bast;submit_invoice_retensi;nilai_invoice_retensi;plan_invoice_retensi;keterangan_retensi;total_invoice;total_sisa_invoice
24;;OPEN AREA RW 01 CIPAYUNG;Regional 2;DKI Jakarta;Jakarta;Dimas;1119;Tidak Terbit PO;;;;;;;;20/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"RW menolak pembangungan FS
Plan Canvasing: W50";;;;;;;;;0;0
25;;PEMUKIMAN RW 01 CILANGKAP;Regional 2;DKI Jakarta;Jakarta;Dimas;1500;Tidak Terbit PO;;;;;;;;14/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;pihak Rw menolak, karna tiang provider sudah banyak, jadi sudah tidak ada space lagi dan sudah banyak warga yang complain;;;;;;;;;0;0
26;;Perumahan Jatibening Satu;Regional 2;DKI Jakarta;Jakarta;Dimas;239;Tidak Terbit PO;;;;;;;;20/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;Pihak Rw tidak bisa menerima jaringan Fiberstar masuk ke wilayahnya karna sudah terlalu banyak tiang yang sudah tertanam. Sehingga sudah tidak ada space lagi.;;;;;;;;;0;0
27;;Komplek Patria Jaya;Regional 2;DKI Jakarta;Jakarta;Dimas;200;Tidak Terbit PO;;;;;;;;20/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;Pihak Rw tidak bisa menerima jaringan Fiberstar masuk ke wilayahnya karna sudah terlalu banyak tiang yang sudah tertanam. Sehingga sudah tidak ada space lagi.;;;;;;;;;0;0
28;;Kedoya Selatan RW 04;Regional 2;DKI Jakarta;Jakarta;Nasrul;340;Tidak Terbit PO;;;;;;;;20/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"20/11/24 : reject
Profosal sudah diberikan ke pengurus cluster oleh staff cluster dan mengundang bicara langsung dgn bapak Tatang.";;;;;;;;;0;0
29;;Taman kedoya baru residence;Regional 2;DKI Jakarta;Jakarta;Nasrul;750;Tidak Terbit PO;;;;;;;;22/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"15/01/25 : Existing FS
22/11/24 : RW belum bisa ditemui";;;;;;;;;0;0
30;ACCESS0152-11-2024;FBECRD KYB Perumahan Rawa Barat RW 03 TK;Regional 2;DKI Jakarta;Jakarta;Nasrul;396;Sudah Terbit PO;PO24003283;29/11/2024;2024;240704000;328;;Indihome, FM, Myrep;16/10/2024;DONE;DONE;OK;45581;167;DONE;DONE;OK;21/10/2024;;No.567/MAP/JKT/NDV/LAK/REF/XI/2024;07/11/2024;W4-Januari 2025;300;DONE;DONE;DONE;OK;28/10/2024;07/11/2024;396;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;11/11/2024;14/11/2024;396;02/12/2024;29/11/2024;OGP;;;OGP;;NOT OK;;;;;;R. OGP Civil Work;"21/01/25 : surat izin dari Lurah sudah released, pekerjaan bisa dilanjut
21/01/25 : warga menolak tanam tiang (4 batang) dan melaporkan ke Satpol PP, minta surat izin resmi dari PTSP, sedang diusahakan minta tembusan dulu ke Pak Lurah Rawa Barat dan Kecamatan Binamarga 
20/01/25 : OGP tanam tiang dan pengecoran 20 tiang & digging 5 lubang, terkendala warga komplain dan banyak lubang yg harus di geser dan juga kendala hujan deras
15/01/25 : OGP Implementasi
14/12/24 : Review dari FS terkait hasil marking sudah OK, menunggu hasil PU
10/12/24 : Material ready sudah di Gudang TKM
5/12/24 : Marking tiang done, jml tiang fix 71 btg 
2/12/24 : KOM Done, Traget Marking Tiang Tanggal 5 Desember 2024 (Need Perizinan PU)
25/11/24: Waiting PKS Released dari FS
5/11/24: HLD Submit by Email
11/11/24: Submit LLD";W4 FEBRUARI;;228668800;;;;12035200;;0;240704000
31;ACCESS0304-10-2024;FBEOPA CKG RW 05 CILANGKAP TK;Regional 2;DKI Jakarta;Jakarta;Dimas;1000;Sudah Terbit PO;PO24003424;10/12/2024;2024;278366500;375;;Oxygen, MyRep, Biznet, Indihome, Bali Fiber;22/12/2024;DONE;DONE;OK;45587;1500;DONE;DONE;OK;26/10/2024;;No.483/MAP/JKT/NDV/LAK/REF/X/2024;28/10/2024;W2-Januari 2025;800;DONE;DONE;DONE;OK;12/11/2024;15/11/2024;1000;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;26/11/2024;26/11/2024;1000;09/12/2024;05/12/2024;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"21/01/25 : Target tanam tiang 25 Jan 2025
19/01/25 : Digging Pole 13 Lubang, terkendala cuaca hujan dan banyak batu di tengah tengah lubang
16/01/25 : Kendala impley, kedatangan oleh orang media & ormas serta terkendala titik galian banyak batu di tengah tengah
30/12/24 : Progres Implementasi Tanam Tiang
23/12/24 : Kasatpel Bina Marga tidak merekomendasikan pekerjaan Kabel Udara, seteleha koordinasi Tim Kastapel mau biaya koordinasinya tapi tidak mau bertanggungjawab.
23/12/24 : Loading material Tiang 7m : 300 btg, Tiang 9m : 25 btg
18/12/24 : tandatangan APD, PKS ada perubahan karena ada kenaikan volume tiang dari PKS Awal dari 62 menjadi 68 
17/12/24 : tandatangan BAP 
9/12/24 : KOM Done
6/12/24 : Plan KOM tANGGL 9 Desember 2024
26/11/24 : LLD Approved, waiting release PKS
20/11/24 : Target submite LLD W48 ( Tanggal 24 November 2024)
14/11/24 : Target Approval HLD 15 Nov 24";W4 FEBRUARI;;264448175;;;;13918325;;0;278366500
32;ACCESS0089-12-2024;FBEOPA CKG RW 04 PEKAYON TK;Regional 2;DKI Jakarta;Jakarta;Dimas;580;Belum Terbit PO;;;;;;580000000;IndiHome, First Media;03/12/2024;DONE;DONE;OK;45629;580;DONE;DONE;OK;04/12/2024;;No.744/MAP/JKT/NDV/LAK/REF/XII/2024;12/12/2024;W1-Maret 2025;580;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"21/01/25 : Plan negosiasi Selasa, 21 Jan 25
18/01/25 : Hari ini akan kunjungan utk meminta jadwal pertemuan ttd BAK kedua karna BAK yang pertama kesepakatannya masih dalam bentuk per tiang
16/12/24 : DROP karena salah satu pihak RT 6 menolak dan meminta sewa yg posisinya ada di tengah2, impactnya kalo RT 1 menolak maka jalur tidak terkoneksi
4/12/24 : Need Approval CBN
4/12/24 : Total tiang 29 batang (Terdapat 6 RT, 3 RT sudah dilakukan survey bersama. 3 RT lainnya akan dilanjut esok hari)
3/12/24 : BAK Done";;;;;;;;;0;0
33;;Cilandak Timur RW 01;Regional 2;DKI Jakarta;Jakarta;Nasrul;1458;Tidak Terbit PO;;;;;;1458000000;;14/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"15/01/25 : Dibuatkan undangan sosialisasi 
4/12/24 : Menuggu jadwal visit dengan Mba Alfina
20/11/24 : Koordinasi dengan Mba Alfina terkait keputusan (Nilai Donasi)
14/11/24 : Progress check KMZ";;;;;;;;;0;0
