primary_access_id_project;access_id_project;access_name_project;regional_project;provinsi_project;area_project;pic_project;hpplan_project;status_po;number_po;tanggal_po;tahun_po;nilai_awal_po;hp_po;po_estimasi;eks_kompetitor;tgl_canvasing;surat_ijin_bak;bak_bak;status_bak;tanggal_bak;hp_bak;report_cbn;kmz_cbn;status_cbn;tgl_submite_cbn;tgl_approve_cbn;spk_nomor;spk_tanggal;spk_target_rfs;spk_hp;report_hld;apd_hld;boq_hld;status_hld;tgl_submit_hld;tgl_approve_hld;hp_hld;apd_lld;boq_lld;report_lld;autocad_lld;schematic_lld;maincore_lld;penambang_jalan_lld;bid_lld;status_lld;tgl_submite_lld;tgl_approve_lld;hp_lld;tgl_kom;tgl_pks;tiang_implementasi;kabel_implementasi;dpfo_implementasi;cortiang_implementasi;atp_implementasi;status_implementasi;tanggal_rfs;hp_rfs;tanggal_atp;hp_atp;tanggal_bast;main_status;remarks_status;submit_invoice_bast;nilai_invoice_bast;plan_invoice_bast;keterangan_bast;submit_invoice_retensi;nilai_invoice_retensi;plan_invoice_retensi;keterangan_retensi;total_invoice;total_sisa_invoice
244;ACCESS0275-11-2024;FBEOPA PLG SIALANG RW13 TK;Regional 1;Sumatera Selatan;Palembang;Arief Yahya;200;Sudah Terbit PO;PO24003535;16/12/2024;2024;116354500;234;;;05/11/2024;DONE;DONE;OK;45610;211;DONE;DONE;OK;16/11/2024;14/11/2024;No.654/MAP/JKT/NDV/ARF/REF/XI/2024;21/11/2024;W3-Februari 2025;200;DONE;DONE;DONE;OK;21/11/2024;29/11/2024;200;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;13/12/2024;;200;28/12/2024;;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"17/01/25 : Done tanam tiang waiting redesign utk lanjut BAP 2
26/12/24 : Done submited LLD, need approval
29/11/24 : Approval HLD
12/11/24 : RW ttd BAK";W4 MARET;;110536775;;;;5817725;;0;116354500
245;ACCESS0277-12-2024;FBEOPA LEBONG GAJAH RW01 TK;Regional 1;Sumatera Selatan;Palembang;Arief Yahya;99;Sudah Terbit PO;PO25000335;20/01/2025;2025;130717272;221;;;10/12/2024;DONE;DONE;OK;10/12/2024;267;DONE;DONE;OK;18/12/2024;23/12/2024;No.064/MAP/JKT/NDV/ARF/REF/I/2025;15/01/2025;W04 - Februari 2025;267;DONE;DONE;DONE;OK;30/12/2024;03/01/2025;221;;;;;;;;;NOT OK;;;221;;;;;;;;NOT OK;;;;;;G. On Going HLD;"03/01/25 : HLD done, waiting LLD
27/12/24 : Target submite HLD 30 Des 2024
26/12/24 : Waiting HLD
23/12/24 : Approved CBN
18/12/24 : Permohonan Approval CBN
18/12/24 : BAK Done submited
11/12/24 : Waiting BAK (menunggu ttd 1 RT lagi)
3/12/24 : RT 04 sudah ttd BAK dan mengizinkan masuknya jaringan fiberstar diwilayahnya. namun pak RTnya minta koordinasi untuk penempatan titik tiangnya sama seperti RT"" yg lain, sisa 1 RT yg belum ttd karena blm mau ttd apabila blm disurvei dan tau titik tiangnya.
3/12/24 : RT 03 sudah ttd BAK dan mengizinkan masuknya jaringan fiberstar diwilayahnya. namun pak RTnya minta koordinasi untuk penempatan titik tiangnya.
3/12/24 : RT 02 sudah ttd BAK dan mengizinkan masuknya jaringan fiberstar diwilayahnya.
1/12/24 : RT 045 sudah ttd BAK dan mengizinkan masuknya jaringan fiberstar diwilayahnya. namun akan di lakukan koordinasi bersama RT"" lain jg yg blm bisa ditemui. dan bu RW nya jg menyetujui namun tergantung daripada keputusan RT""nya. untuk ttd BAK RT"" lain menyusul apabila telah disetujui.
20/11/24 : Plan Canvasing W49
4/11/24 : kunjungan kekelurahan Lebung Gajah. Lurah mengizinkan dan akan di adakan sosialisasi dengan para RW"" di kelurahan pada minggu ini.
9/11/24 : Buk RW01 mengizinkan.namun beliau akan koordinasi dahulu dengan RT""nya dan Buk RW memintak di survei dahulu.";W4 MARET;;124181408.4;;;;6535863.6;;0;130717272
246;;Open Area Jl. Amal RW 03 (RT 1,2,3,4);Regional 1;Riau;Pekanbaru;Nurhayati;200;Tidak Terbit PO;;;;;;;IndiHome, XL, My Rep;14/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"24/12/24 : Eksisting FS
14/12/24 : RW menyetujui on progress survey";;;;;;;;;0;0
247;ACCESS0011-12-2024;FBEOPA PBR KELURAHAN KAMPUNG TENGAH RW 02 TK ;Regional 1;Riau;Pekanbaru;Nurhayati;650;Belum Terbit PO;;;;;;650000000;IndiHome, XL, Oxygen;03/12/2024;DONE;DONE;OK;03/12/2024;324;DONE;DONE;OK;16/12/2024;17/12/2024;No.755/MAP/JKT/NDV/ARF/REF/XII/2024;17/12/2024;W1-Maret 2025;650;DONE;DONE;DONE;OK;22/12/2024;30/12/2024;324;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;02/01/2025;;324;;;;;;;;NOT OK;;;;;;J. Waiting Approval LLD;"02/01/24 : Menunggu SK RW, RW tidak di tempat
10/12/24 : Done submite CBN tapi direject, need BOQ
3/12/24 : menyetujui masuk dan tanam tiang fiberstar";;;;;;;;;0;0
248;ACCESS0091-12-2024;FBEOPA PBR KELURAHAN KAMPUNG TENGAH RW 04 TK ;Regional 1;Riau;Pekanbaru;Nurhayati;350;Belum Terbit PO;;;;;;350000000;IndiHome, XL, Oxygen;03/12/2024;DONE;DONE;OK;03/12/2024;214;DONE;DONE;OK;16/12/2024;17/12/2024;No.755/MAP/JKT/NDV/ARF/REF/XII/2024;17/12/2024;W4-Februari 2025;350;DONE;DONE;DONE;OK;22/12/2024;06/01/2025;214;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;07/01/2025;;214;;;;;;;;NOT OK;;;;;;J. Waiting Approval LLD;"07/01/25 : Submit LLD Tanggal 7 Januari 2025
06/01/25 : Approval HLD Tanggal 6 Januari 2025
22/12/24 : Submit HLD by Email Tanggal 22 Desember 2024
10/12/24 : Done submite CBN tapi direject, need BOQ
3/12/24 : menyetujui masuk dan tanam tiang fiberstar";;;;;;;;;0;0
249;ACCESS0281-12-2024;FBEOPA PBR KELURAHAN KAMPUNG TENGAH RW 05 TK;Regional 1;Riau;Pekanbaru;Nurhayati;99;Belum Terbit PO;;;;;;99000000;IndiHome, XL, Oxygen;03/12/2024;DONE;DONE;OK;03/12/2024;100;DONE;DONE;OK;07/01/2025;15/01/2025;No.064/MAP/JKT/NDV/ARF/REF/I/2025;15/01/2025;W04 - Februari 2025;412;DONE;DONE;DONE;OK;22/12/2024;06/01/2025;87;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;I. On Going LLD;"07/01/25 : SubmitLLDTanggal 7 Januari 2025
05/01/25 : Approval HLD Tanggal 5 Januari 2025
22/12/24 : Submit HLD by Email Tanggal 22 Desember 2024
11/12/24 : BAK belum TTD RW
3/12/24 : menyetujui masuk dan tanam tiang fiberstar";;;;;;;;;0;0
250;ACCESS0072-01-2025;FBEOPA PBR KELURAHAN KAMPUNG TENGAH RW 06 TK;Regional 1;Riau;Pekanbaru;Nurhayati;99;Belum Terbit PO;;;;;;99000000;;23/12/2024;DONE;DONE;OK;03/12/2024;100;DONE;DONE;OK;07/01/2025;15/01/2025;No.064/MAP/JKT/NDV/ARF/REF/I/2025;15/01/2025;W02 - Februari 2025;536;DONE;DONE;DONE;OK;03/01/2025;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;D. BAK Done;02/01/24 : Submite BAK Tgl 2 Jan 2025;;;;;;;;;;
251;;KAMPUNG TENGAH RW 1;Regional 1;Riau;Pekanbaru;Nurhayati;247;Belum Terbit PO;;;;;;99000000;Myrepublik,indihome,XL;25/12/2024;DONE;DONE;OK;03/12/2024;247;DONE;DONE;OK;15/01/2025;20/01/2025;;;;;DONE;DONE;DONE;OK;15/01/2025;20/01/2025;185;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;I. On Going LLD;"23/01/25 : Waiting LLD
20/01/25 : Approval HLD dari Pak Fenny Tanggal  20 Jan 2025
15/01/25 : Submit SRR Tanggal 15 Jan 2025
02/01/24 : Submite BAK Tgl 2 Jan 2025";;;;;;;;;;
252;;KAMPUNG TENGAH RW 3;Regional 1;Riau;Pekanbaru;;;Belum Terbit PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;;KAMPUNG TENGAH RW 7;Regional 1;Riau;Pekanbaru;Nurhayati;325;Belum Terbit PO;;;;;;325000000;;24/12/2024;DONE;DONE;OK;03/12/2024;100;DONE;DONE;OK;15/01/2025;22/01/2025;;;;;DONE;DONE;DONE;OK;15/01/2025;22/01/2025;325;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;I. On Going LLD;"23/01/25 : Waiting LLD
22/01/25 : Approval HLD by Emai dari Pak Fenny
15/01/25 : Submit SRR Tanggal 15 Jan 2025
02/01/24 : Submite BAK Tgl 2 Jan 2025";;;;;;;;;;
254;;KAMPUNG TENGAH RW 8;Regional 1;Riau;Pekanbaru;;;Belum Terbit PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;;KAMPUNG TENGAH RW 9;Regional 1;Riau;Pekanbaru;;;Belum Terbit PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;;Open Area Jl. Nuansa RW 07 (RT 1 & 2);Regional 1;Riau;Pekanbaru;Nurhayati;600;Belum Terbit PO;;;;;;600000000;IndiHome, XL Home;03/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : Menunggu tikor 
11/12/24 : Menunggu hasil rundingan di tanggal 12 Des 2024
3/12/24 : menyetujui masuk survey dan tanam tiang fiberstar (sedang negosiasi kompensasi) ";;;;;;;;;0;0
257;;Open Area Jl. Rambutan;Regional 1;Riau;Pekanbaru;Nurhayati;2000;Belum Terbit PO;;;;;;2000000000;IndiHome, XL, My Rep;03/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : Menunggu tikor 
11/12/24 : Menunggu hasil dari WP
3/12/24 : menyetujui masuk survey dan tanam tiang fiberstar (sedang negosiasi kompensasi) ";;;;;;;;;0;0
258;;Mesjid Perumahan Vaisatama, SIMPANG BARU, TAMPAN;Regional 1;Riau;Pekanbaru;Nurhayati;108;Belum Terbit PO;;;;;;108000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
259;;Perum Pondok Ratu;Regional 1;Riau;Pekanbaru;Nurhayati;58;Belum Terbit PO;;;;;;58000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
260;;Perumahan Graha Taman Anggrek;Regional 1;Riau;Pekanbaru;Nurhayati;63;Belum Terbit PO;;;;;;63000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
261;;Perumahan Permata Griya Regency;Regional 1;Riau;Pekanbaru;Nurhayati;143;Belum Terbit PO;;;;;;143000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
262;;Melati Athaya;Regional 1;Riau;Pekanbaru;Nurhayati;113;Belum Terbit PO;;;;;;113000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
263;;Opean Area Jl. Bakti DSK Tengkerang Barat;Regional 1;Riau;Pekanbaru;Nurhayati;300;Belum Terbit PO;;;;;;300000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
264;;Komp Puri Nangka dan Open Area Jl Soetta;Regional 1;Riau;Pekanbaru;Nurhayati;351;Belum Terbit PO;;;;;;351000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
265;;LARRASITA MALAY;Regional 1;Riau;Pekanbaru;Nurhayati;293;Belum Terbit PO;;;;;;293000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
266;;Royal Platinum 2;Regional 1;Riau;Pekanbaru;Nurhayati;157;Belum Terbit PO;;;;;;157000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
267;;The Modern Cluster;Regional 1;Riau;Pekanbaru;Nurhayati;70;Belum Terbit PO;;;;;;70,000,000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;0;0
268;;Kelurahan Pematang Kapau;Regional 1;Riau;Pekanbaru;Nurhayati;6000;Belum Terbit PO;;;;;;6000000000;;09/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"17/01/25 :  RW 10 limbungan baru menyetujui, tapi menunggu hasil keputusan
15/01/25 : Issue vendor sebelumnya tapi masih akan di FU
09/01/25 : bersama ketua forum RT/RW kel.pematang Kapau, waiting ijin survey  RW 07 kel.pematang Kapau";;;;;;;;;0;0
269;;FBEOPA BJM Sungai Miai Simp.Cemara 2 RW.01 RT.40 TK;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;99;Belum Terbit PO;;;;;;99000000;;19/12/2024;DONE;DONE;OK;45645;135;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"22/01/25 : Approval SSR Report Profiling Approach by Email oleh Pak Zulkifli
13/01/25 : Submit SSR Report Profiling Approach ke Email
02/01/25 : Plan submite BAK include Data Profilling 2 Jan 2025 
26/12/24 : Menunggu lampiran TTD RT setempat";;;;;;;;;0;0
270;;FBECRD BJM Alalak Utara PEMDA KALSEL RW.01 RT.21 TK;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;700;Belum Terbit PO;;;;;;700,000,000;;30/12/2024;DONE;DONE;OK;30/12/2024;527;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"22/01/25 : Approval SSR Report Profiling Approach by Email oleh Pak Zulkifli
13/01/25 : Submit SSR Report Profiling Approach ke Email
02/01/25 : Plan submite BAK include Data Profilling 2 Jan 2025 
26/12/24 : Menunggu lampiran TTD RT setempat";;;;;;;;;0;0
271;;Komplek Pondok Metro Indah;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;100;Belum Terbit PO;;;;;;100000000;;23/12/2024;DONE;DONE;OK;45649;86;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"13/01/25 : Submit SSR Report Profiling Approach ke Email
02/01/25 : Plan submite BAK include Data Profilling 2 Jan 2025 
26/12/24 : Menunggu lampiran TTD RT setempat";;;;;;;;;0;0
272;;Simpang Pondok Metro;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;99;Belum Terbit PO;;;;;;99,000,000;;23/12/2024;DONE;DONE;OK;30/12/2024;150;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"02/01/25 : Plan submite BAK include Data Profilling 2 Jan 2025 
26/12/24 : Menunggu lampiran TTD RT setempat";;;;;;;;;;
273;;Pemurus Baru;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;1500;Belum Terbit PO;;;;;;1500000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;;
274;;Kebun Bunga;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;1000;Belum Terbit PO;;;;;;1000000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;;
275;;Sungai Miai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;3000;Belum Terbit PO;;;;;;3000000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;;
276;;Alalak Selatan;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;700;Belum Terbit PO;;;;;;700000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;;
277;;Kuin Utara;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;700;Belum Terbit PO;;;;;;700000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;;
278;;Pangeran;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;500;Belum Terbit PO;;;;;;500000000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;A. Data Pipeline;;;;;;;;;;;
279;;Komp. Awang Permai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;99;Belum Terbit PO;;;;;;99000000;;03/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"07/01/25 : ketua RT diskusi sama pengurus RT dan warga dlu..
03/01/25 : ketua RT gak ada di rumah";;;;;;;;;;
280;;Komp. Madani 1;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;150;Belum Terbit PO;;;;;;150,000,000;;03/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;03/01/25 : ketua RT gak ada di rumah;;;;;;;;;;
281;;Komp. Cendana 2;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;150;Belum Terbit PO;;;;;;150000000;;03/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;03/01/25 : ketua RT gak ada di rumah;;;;;;;;;;
282;;Kompk. Sultan Adam Permai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;150;Belum Terbit PO;;;;;;150000000;;03/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;03/01/25 : ketua RT gak ada di rumah;;;;;;;;;;
283;;Kompk. Bulakindo;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;100;Belum Terbit PO;;;;;;100000000;;03/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;03/01/25 : ketua RT gak ada di rumah;;;;;;;;;;
284;;Komp. Kelapa Gading;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;100;Belum Terbit PO;;;;;;100000000;;02/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;03/01/25 : ketua RT setuju adanya pemasangan tiang jaringan wifi fiberstar.;;;;;;;;;;
285;;Komp. Mandiri Permai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;100;Belum Terbit PO;;;;;;100000000;;02/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;03/01/25 : ketua RT menanyakan ke warga dlu terkait pemasangan tiang;;;;;;;;;;
286;;Komp. Mandiri Lestari;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;400;Belum Terbit PO;;;;;;400000000;;02/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"07/01/25 : RT diskusi sama pengurus RT dan warga dulu
03/01/25 : ketua RT35, menunggu persetujuan RT yg lainnya";;;;;;;;;;
287;;Jl. Flamboyan;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;200;Belum Terbit PO;;;;;;200000000;;07/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"07/01/25 : RT diskusi sama pengurus RT dan warga dulu
03/01/25 : ketua RT35, menunggu persetujuan RT yg lainnya";;;;;;;;;;
288;;Komp. Perdagangan Permai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;400;Belum Terbit PO;;;;;;400000000;;08/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;08/01/25 : ketua RT diskusi sama pengurus RT dan warga dlu;;;;;;;;;;
289;;Kompk. Kayutangi;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;400;Belum Terbit PO;;;;;;400000000;;07/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"07/01/25 : RT diskusi sama pengurus RT dan warga dulu
03/01/25 : ketua RT35, menunggu persetujuan RT yg lainnya";;;;;;;;;;
290;;RW.02 Alalak Utara;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;99;Belum Terbit PO;;;;;;99000000;;08/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;08/01/25 : ketua RW mau komfirmasi ke RT yg masuk wilayah RW.02, baru ada 3 RT yg setuju,;;;;;;;;;;
291;;Komp. HKSN Permai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;170;Belum Terbit PO;;;;;;170000000;;09/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;09/01/25 : ketua RT mau komfirmasi ke warga dulu.;;;;;;;;;;
292;;Komp. Sidurapi RT 19;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;100;Belum Terbit PO;;;;;;100000000;;09/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;09/01/25 : ketua RT setuju adanya pemasangan jaringan wifi fiberstar.;;;;;;;;;;
293;;Komp. Surya Gemilang;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;1000;Belum Terbit PO;;;;;;1000000000;;14/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;14/01/25 : ketua RT mau kordinasi dgn RT yg lain dsn warga setempat dulu;;;;;;;;;;
294;;Komp. Raga Buana;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;200;Belum Terbit PO;;;;;;200000000;;14/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;14/01/25 : ketua RT tidak ada dirumah;;;;;;;;;;
295;;Komp. Raga Samudera;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;150;Belum Terbit PO;;;;;;150000000;;14/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;14/01/25 : ketua RT setuju adanya pemasangan jaringan wifi fiberstar.;;;;;;;;;;
296;;Komp. Nusa Indah;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;80;Belum Terbit PO;;;;;;80000000;;17/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;17/01/25 : Ketua RT mau diskusi sama warga dlu.;;;;;;;;;;
297;;Komp. Pandan Arum;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;200;Belum Terbit PO;;;;;;200000000;;17/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;17/01/25 : ketua RT mau komfirmasi ke warga dlu terkait adanya pemasangan jaringan wifi fiberstar.;;;;;;;;;;
298;;Komp. Buana Permai;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;200;Belum Terbit PO;;;;;;200000000;;17/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;17/01/25 : Ketua RT setuju adanya pemasangan jaringan wifi fiberstar.;;;;;;;;;;
299;;Komp. Perkasa Indah;Regional 4;Kalimantan Selatan;Banjarmasin;Isnandi Aji;100;Belum Terbit PO;;;;;;100000000;;18/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;18/01/25 : Ketua RT mau konfirmasi kewarga dlu.;;;;;;;;;;
