cutoff_group,cluster_name,cluster_code,regional_name,province_name,city_name,team_name,rpm,sm,spv,status_current,status_bak,status_valsal,status_batch_approval,status_drm,status_atp,status_checklist_document,hp_plan,homepass_bak,homepass_valsal,hp_donasi,homepass_drm,olt_name,ba_open_date,bak_date,valsal_date,submission_date,released_at,drm_date,email_atp_date,actual_atp_date,rfs_date,rfs_cluster_id,po_type,INITIAL,po_number,po_date,po_value,status_po,po_version_label,remark_po,remark_general
IMPLEMENTASI,NEGLA RW 09 BREBES,BBS000936,REGIONAL 3,JATENG,BREBES,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,241,,,,,,,3/2/2026,,,,,CLUSTER,INITIAL,7400121935,4/20/2026,46190900,,v1,PO AWAL,
IMPLEMENTASI,MADUREJO RT 09 KOTAWARINGIN BARAT,PBU000012,REGIONAL 4,KALTENG,KOTAWARINGIN BARAT,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,289,,,,,,,3/31/2026,,,,,,,,,,,,,
IMPLEMENTASI,MADUREJO RT 05 SAMPAI 07 KOTAWARINGIN BARAT,PBU000021,REGIONAL 4,KALTENG,KOTAWARINGIN BARAT,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,476,,,,,,,3/28/2026,,,,,,,,,,,,,
IMPLEMENTASI,MADUREJO RT 08 KOTAWARINGIN BARAT,PBU000020,REGIONAL 4,KALTENG,KOTAWARINGIN BARAT,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,413,,,,,,,3/30/2026,,,,,,,,,,,,,
IMPLEMENTASI,"UJUNG LARE RW 01, 02 DAN 03 PARE PARE",PRE000034,REGIONAL 5,SULSEL,PAREPARE,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,345,,,,,,,4/6/2026,,,,,CLUSTER,INITIAL,7400121955,4/20/2026,70055000,,v1,PO AWAL,
IMPLEMENTASI,"UJUNG BARU RW 01, 02 DAN 03 PARE PARE",PRE000029,REGIONAL 5,SULSEL,PAREPARE,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,240,,,,,,,4/6/2026,,,,,CLUSTER,INITIAL,7400121957,4/20/2026,61297250,,v1,PO AWAL,
IMPLEMENTASI,LINGKUNGAN COPPOMERU WATAMPONE BONE,WTP000008,REGIONAL 5,SULSEL,BONE,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,850,,,,,,,4/6/2026,,,,,,,,,,,,,
IMPLEMENTASI,UJUNG LARE RW 04 DAN 05 PARE PARE,PRE000035,REGIONAL 5,SULSEL,PAREPARE,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,339,,,,,,,4/8/2026,,,,,CLUSTER,INITIAL,7400121953,4/20/2026,91039250,,v1,PO AWAL,
IMPLEMENTASI,KELURAHAN ROGODONO KEBUMEN,KBM000719,REGIONAL 3,JATENG,KEBUMEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,362,,,,,,,4/8/2026,,,,,,,,,,,,,
IMPLEMENTASI,ARJOMULYO RW 03 KEBUMEN,KBM000720,REGIONAL 3,JATENG,KEBUMEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,77,,,,,,,4/8/2026,,,,,,,,,,,,,
