"scraped_at","route","scope","phase","cluster_code","clean_list_name","work_order_number","vendor_label","astri_type","astri_label","derived_status","file_count","upload_date","verified_by","verified_at","revision_by","revision_at","revision_remark","filename","detail_url"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","opm_otdr_acceptance_test","OPM / OTDR ATP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","project_opname","Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:24 PM","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_plan_drawing_core_management_subfeeder","APD Core Management Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:24 PM","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_plan_drawing_subfeeder_dwg","APD Subfeeder dwg","APPROVED","1","2026-08-04 12:05:42","ifam.famula",,,,,"as_plan_drawing_subfeeder_dwg_BLT000695_20260804120542_BLT000695  DWG SF APD BENCE RW 06 BLITAR.dwg","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:24 PM","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_plan_drawing_subfeeder_kmz","APD Subfeeder kmz","APPROVED","2","2026-08-10 12:29:44","ifam.famula",,,,,"as_plan_drawing_subfeeder_kmz_BLT000695_20260810122940_BLT000695  KMZ SF APD BENCE RW 06 BLITAR.KMZ","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:24 PM","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","permit_subfeeder","BA Permit Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:24 PM","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","subfeeder_civil_work_acceptance_test","CW ATP Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:24 PM","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","subfeeder_redline","Redline Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:34 PM","ATP SUBFEEDER - FULL OPM","SUBFEEDER","FULL OPM","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","subfeeder_opm_otdr_acceptance_test","OPM / OTDR Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/full-opm?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_built_drawing_core_management_subfeeder","ABD Core Management Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_build_drawing_subfeeder_dwg","ABD Subfeeder dwg","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_built_drawing_subfeeder_kmz","ABD Subfeeder kmz","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","build_of_quantity_subfeeder_as_built_drawing","BoQ Subfeeder ABD","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","build_of_quantity_subfeeder_as_plan_drawing","BoQ Subfeeder APD","APPROVED","1","2026-08-04 12:05:43","ifam.famula",,,,,"build_of_quantity_subfeeder_as_plan_drawing_BLT000695_20260804120543_BLT000695  BOQ SF APD BENCE RW 06 BLITAR.xlsx","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","justifikasi_berita_acara_opname","Justifikasi Berita Acara Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:41 PM","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","subfeeder_project_opname","Project Opname Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
